conversation_id,feedback
coaching_2847,helpful
coaching_3070,helpful
coaching_3481,helpful
coaching_5179,helpful
coaching_6268,helpful
coaching_6464,helpful
coaching_12984,helpful
coaching_13319,helpful
coaching_13322,helpful
coaching_13546,helpful
coaching_13661,helpful
coaching_13745,helpful
coaching_13768,helpful
coaching_13813,helpful
coaching_13881,helpful
coaching_14194,helpful
coaching_14198,helpful
coaching_14233,helpful
coaching_14414,helpful
coaching_14553,helpful
coaching_14575,helpful
coaching_14859,helpful
coaching_14925,helpful
coaching_15065,helpful
coaching_15451,helpful
coaching_15463,helpful
coaching_15498,helpful
coaching_15555,helpful
coaching_15632,helpful
coaching_15811,helpful
coaching_15853,helpful
coaching_16086,helpful
coaching_16183,helpful
coaching_16306,helpful
coaching_16391,helpful
coaching_16417,helpful
coaching_16442,helpful
coaching_16474,helpful
coaching_16511,helpful
coaching_16595,helpful
coaching_16757,helpful
coaching_16790,helpful
coaching_16805,helpful
coaching_16810,helpful
coaching_16813,helpful
coaching_16817,helpful
coaching_16819,helpful
coaching_16882,helpful
coaching_16885,helpful
coaching_16936,not helpful
coaching_16942,helpful
coaching_17023,helpful
coaching_17151,helpful
coaching_17378,helpful
coaching_17407,helpful
coaching_17412,helpful
coaching_17465,helpful
coaching_17469,helpful
coaching_17662,helpful
coaching_17692,helpful
coaching_17971,helpful
coaching_18293,helpful
coaching_18427,helpful
coaching_18445,helpful
coaching_18584,helpful
coaching_18597,helpful
coaching_18810,helpful
coaching_19306,helpful
coaching_19336,helpful
coaching_19611,helpful
coaching_20025,helpful
coaching_20152,helpful
coaching_20208,helpful
coaching_20456,helpful
coaching_20540,helpful
coaching_20637,helpful
coaching_20802,helpful
coaching_20859,helpful
coaching_20871,helpful
coaching_20977,helpful
coaching_20985,helpful
coaching_21120,helpful
coaching_21209,helpful
coaching_21270,helpful
coaching_21303,helpful
coaching_21548,helpful
coaching_21605,helpful
coaching_21780,helpful
coaching_21795,helpful
coaching_21842,helpful
coaching_22037,helpful
coaching_22120,helpful
coaching_22192,helpful
coaching_22241,helpful
coaching_22332,helpful
coaching_22371,helpful
coaching_22391,helpful
coaching_22554,helpful
coaching_22607,helpful
coaching_23065,helpful
coaching_23091,helpful
coaching_23100,helpful
gptchats_219,not helpful
gptchats_298,not helpful
gptchats_454,not helpful
gptchats_470,not helpful
gptchats_483,not helpful
gptchats_575,not helpful
gptchats_625,not helpful
gptchats_637,not helpful
gptchats_657,not helpful
gptchats_659,not helpful
gptchats_697,not helpful
gptchats_785,not helpful
gptchats_871,not helpful
gptchats_926,not helpful
gptchats_955,not helpful
gptchats_1031,not helpful
gptchats_1145,not helpful
gptchats_1213,not helpful
gptchats_1247,not helpful
gptchats_1296,not helpful
gptchats_1318,not helpful
gptchats_1349,not helpful
gptchats_1437,not helpful
gptchats_1449,not helpful
gptchats_1526,not helpful
gptchats_1537,not helpful
gptchats_1605,not helpful
gptchats_1611,not helpful
gptchats_1618,not helpful
gptchats_1655,not helpful
gptchats_1838,not helpful
gptchats_1858,not helpful
gptchats_1888,not helpful
gptchats_1892,not helpful
gptchats_1984,not helpful
gptchats_2034,not helpful
gptchats_2123,not helpful
gptchats_2152,not helpful
gptchats_2279,not helpful
gptchats_2291,not helpful
gptchats_2326,not helpful
gptchats_2361,not helpful
gptchats_2367,not helpful
gptchats_2420,not helpful
gptchats_2465,not helpful
gptchats_2683,not helpful
gptchats_2724,not helpful
gptchats_2789,not helpful
gptchats_2859,not helpful
gptchats_2894,not helpful
gptchats_2939,not helpful
gptchats_3051,not helpful
gptchats_3167,not helpful
gptchats_3177,not helpful
gptchats_3205,not helpful
gptchats_3225,not helpful
gptchats_3229,not helpful
gptchats_3275,not helpful
gptchats_3393,not helpful
gptchats_3443,not helpful
gptchats_3561,not helpful
gptchats_3585,not helpful
gptchats_3720,not helpful
