conversation_id,timestamp,cognitive_layer_score,n_user_messages,n_characters,pid,n_words_first_message,n_sentences_first_message,mean_words_first_3_messages,mean_sentences_first_3_messages,dictionary_complexity,embedding_entropy,sentiment_polarity
gptchats_1,2023-02-17 13:49:11.700801+00:00,2,1,303,99133581,5.0,1.0,5.0,1.0,5.0,6.629179591532052,-0.1782512012869119
gptchats_2,2023-02-17 16:14:56.351066+00:00,4,3,677,99133581,6.0,1.0,4.0,1.0,7.0,4.525873434092188,-0.775123639497906
gptchats_3,2023-02-20 16:16:33.011321+00:00,2,1,254,99140204,5.0,1.0,5.0,1.0,5.0,4.74863817613506,-0.9548361138440667
gptchats_4,2023-02-20 16:19:21.344039+00:00,8,7,2030,99140204,6.0,1.0,7.0,1.0,20.0,3.9015268025995833,-0.037332453764975
gptchats_5,2023-02-20 16:24:10.350273+00:00,8,7,2381,9917712,6.0,1.0,6.333333333333333,1.0,12.0,3.722900123812992,-0.3036997024901211
gptchats_6,2023-02-20 16:30:02.001854+00:00,6,5,1196,9917712,6.0,1.0,8.0,1.0,14.0,6.688366221822122,-0.8116458030417562
gptchats_8,2023-02-21 16:52:17.067276+00:00,3,2,570,99156769,12.0,1.0,10.0,1.0,16.0,6.399747683766372,-0.9530091215856372
gptchats_9,2023-02-21 17:57:53.904261+00:00,3,2,419,99176605,3.0,1.0,3.0,1.0,6.0,5.254067595181859,-0.6116857286542654
gptchats_10,2023-02-21 18:01:31.339616+00:00,3,2,517,99176605,6.0,1.0,5.5,1.0,11.0,0.972359914334941,-0.8101102784276009
gptchats_11,2023-02-21 18:04:39.412078+00:00,3,2,562,99176605,7.0,1.0,7.0,1.0,14.0,0.0,-0.8737006313167512
gptchats_43,2023-02-27 16:37:33.376790+00:00,3,2,625,99156769,8.0,1.0,5.5,1.0,11.0,0.6893292013515256,-0.6307604191824794
gptchats_44,2023-02-28 08:36:30.521095+00:00,6,5,1130,99172842,3.0,1.0,2.6666666666666665,1.0,4.0,2.927605521323131,-0.004873901605606
gptchats_45,2023-02-28 08:44:20.797031+00:00,3,2,628,99172842,4.0,1.0,3.0,1.0,4.0,0.5481338505793373,0.0537189072929322
gptchats_47,2023-03-01 15:48:47.017634+00:00,2,1,164,99180010,6.0,1.0,6.0,1.0,6.0,0.0,-0.977981876116246
gptchats_48,2023-03-06 20:55:23.138473+00:00,2,1,215,99156769,11.0,1.0,11.0,1.0,11.0,0.0,-0.1194264087826013
gptchats_49,2023-03-07 16:45:06.411712+00:00,3,2,541,99156769,18.0,1.0,12.0,1.0,22.0,2.784067836753242,-0.9295039877761156
gptchats_50,2023-03-07 17:05:00.684079+00:00,3,2,466,99176597,7.0,1.0,8.0,1.0,15.0,3.373039619307037,0.8542820084840059
gptchats_52,2023-03-10 15:14:12.726181+00:00,4,3,445,99176365,4.0,1.0,4.0,1.0,12.0,3.5209893459457473,-0.916269768960774
gptchats_53,2023-03-13 16:08:59.335117+00:00,4,3,783,99183291,6.0,1.0,2.6666666666666665,1.0,8.0,4.491305712478758,0.1170921176671981
gptchats_54,2023-03-15 16:09:31.563979+00:00,7,6,1267,99185488,7.0,1.0,6.333333333333333,1.0,14.0,6.611582406050697,0.9402221883647144
gptchats_55,2023-03-15 16:49:52.896754+00:00,6,5,1542,99185556,6.0,1.0,7.666666666666667,1.0,18.0,5.306611556587126,-0.6416530371643603
gptchats_56,2023-03-15 16:59:42.732472+00:00,5,4,1272,99185450,9.0,1.0,6.333333333333333,1.0,15.0,2.0094600917253467,0.0023477412760257
gptchats_57,2023-03-15 17:02:34.052645+00:00,8,7,1531,99185450,9.0,1.0,6.333333333333333,1.0,14.0,6.501359965284151,0.0276548787951469
gptchats_59,2023-03-15 17:23:15.444855+00:00,6,5,1254,99185450,6.0,1.0,5.333333333333333,1.0,13.0,4.181906544728073,-0.9744491714518516
gptchats_60,2023-03-15 17:39:18.455478+00:00,6,5,1160,99185589,5.0,1.0,4.666666666666667,1.0,8.0,5.036652810255521,-0.3214311301708221
gptchats_61,2023-03-15 17:40:18.802573+00:00,6,5,1101,99185448,12.0,1.0,9.333333333333334,1.0,22.0,4.5091949138984235,0.0367594417184591
gptchats_62,2023-03-15 20:13:25.806935+00:00,7,6,1534,99185649,7.0,1.0,9.666666666666666,1.0,19.0,3.901865412583542,-0.0053337384015321
gptchats_63,2023-03-16 13:42:08.643650+00:00,2,1,128,99185936,6.0,1.0,6.0,1.0,6.0,4.450829611259789,-0.9659409683663398
gptchats_64,2023-03-16 16:18:11.145098+00:00,7,6,1417,99185936,14.0,1.0,8.666666666666666,1.0,21.0,4.3298686092708625,-0.2832799926400184
gptchats_65,2023-03-16 17:22:05.869559+00:00,7,6,1367,99186016,9.0,1.0,8.333333333333334,1.0,23.0,6.664150535588382,-0.1761126043274998
gptchats_66,2023-03-16 18:34:02.775068+00:00,7,6,1389,99185488,6.0,1.0,6.0,1.0,17.0,4.221029816133676,-0.3005928099155426
gptchats_67,2023-03-16 18:40:29.059566+00:00,7,6,1185,99185450,6.0,1.0,5.333333333333333,1.0,13.0,5.0178980458244835,-0.7208661427721381
gptchats_68,2023-03-16 19:05:49.652605+00:00,6,5,970,99185589,5.0,1.0,4.0,1.0,9.0,4.507628077932539,-0.2825283566489815
gptchats_69,2023-03-16 19:08:15.805751+00:00,6,5,1247,99185591,5.0,1.0,6.0,1.0,16.0,4.924460236264209,-0.960842477157712
gptchats_70,2023-03-16 19:08:34.368357+00:00,6,5,1060,99185556,6.0,1.0,4.666666666666667,1.0,14.0,4.996704210190246,-0.6948340553790331
gptchats_71,2023-03-16 19:13:11.131888+00:00,9,8,2097,99185448,6.0,1.0,5.333333333333333,1.0,12.0,7.27375955720577,-0.5413897107355297
gptchats_72,2023-03-16 19:30:37.404653+00:00,4,3,623,99185649,6.0,1.0,7.333333333333333,1.0,18.0,2.8313253455690868,-0.0815027356147766
gptchats_78,2023-03-17 12:11:55.243410+00:00,3,2,418,99143660,5.0,1.0,3.5,1.0,7.0,3.4347218835064273,-0.9669624322559685
gptchats_79,2023-03-17 14:05:19.078676+00:00,4,3,552,99185936,7.0,1.0,5.666666666666667,1.0,11.0,4.512549116618367,-0.8585324501618743
gptchats_80,2023-03-17 19:03:18.883867+00:00,7,6,1444,99185488,7.0,1.0,4.666666666666667,1.0,13.0,6.617466432496925,0.8534060576930642
gptchats_81,2023-03-17 19:07:00.363606+00:00,7,6,1260,99185450,7.0,1.0,4.666666666666667,1.0,14.0,5.544440271796376,-0.8098593419417739
gptchats_82,2023-03-17 19:23:05.938594+00:00,6,5,1041,99185448,3.0,1.0,8.0,1.0,20.0,6.568455471774983,-0.2921148287132382
gptchats_83,2023-03-17 19:32:00.517256+00:00,11,10,1979,99185556,7.0,1.0,3.0,1.0,9.0,5.680871537676281,-0.9648116182070224
gptchats_84,2023-03-17 19:56:52.718903+00:00,6,5,1070,99185591,7.0,1.0,6.0,1.0,18.0,4.395197655249447,-0.4454756863415241
gptchats_85,2023-03-17 20:35:30.445520+00:00,7,6,1294,99185589,7.0,1.0,6.0,1.0,17.0,6.290894708134314,-0.8530996670015156
gptchats_86,2023-03-17 21:16:20.535867+00:00,6,5,1161,99185459,3.0,1.0,4.333333333333333,1.0,9.0,5.393503551471927,0.6801810725592077
gptchats_87,2023-03-17 22:13:13.872848+00:00,8,7,1464,99185649,7.0,1.0,9.0,1.0,23.0,5.106444943020941,-0.8033366044983268
gptchats_88,2023-03-19 19:19:39.038283+00:00,3,2,432,99185936,7.0,1.0,10.0,1.5,20.0,3.9462743995313305,-0.6958243232220411
gptchats_89,2023-03-20 15:21:24.479707+00:00,2,1,385,99156769,6.0,1.0,6.0,1.0,6.0,4.575149755174538,-0.9651523095089942
gptchats_90,2023-03-20 20:24:41.075576+00:00,7,6,1664,99185459,10.0,1.0,10.0,1.0,26.0,5.360259630413441,-0.6419065478257835
gptchats_91,2023-03-20 19:26:24.282873+00:00,6,5,1057,99185448,6.0,1.0,5.666666666666667,1.0,13.0,5.561197728461369,-0.9687671572901309
